Cluster	Canon-4	Canon-6	Canon-7	Canon-8_4008	Canon-10	Canon-12	Canon-14_3060	Canon-15	Canon-17	Canon-19	Canon-21_3053	Canon-23	Canon-25	Canon-27_3073	Canon-29_4003	Canon-31_3040	Canon-33_2027	Canon-34_2033	Canon-35	Canon-36_2024	Canon-38_1004.combined	Canon-40_3036.combined	Canon-42_2026.combined	Canon-43	Canon-44	Canon-45	Canon-46_4035	Canon-48	Canon-49	Canon-50	Canon-52	Canon-54	Canon-56	Canon-57	Canon-58
Arctic_Cluster_96	8	8	0	0	11	9	6	0	23	0	7	1	0	7	6	0	3	3	5	6	15	16	18	1	7	13	4	14	14	5	12	10	3	3	4
Arctic_Cluster_1606	14	12	2	0	12	4	10	0	36	0	8	0	0	13	4	2	5	4	3	11	7	4	6	1	5	7	2	10	7	9	3	12	14	5	3
Arctic_Cluster_1491	8	3	0	8	15	8	5	0	14	2	10	2	0	2	7	1	2	2	2	12	27	11	8	2	6	8	4	7	12	14	11	8	6	2	4
Arctic_Cluster_465	9	6	0	0	5	3	3	0	14	0	11	4	0	6	8	1	2	2	5	5	17	15	16	8	12	11	0	11	12	7	8	5	5	7	5
Arctic_Cluster_26	11	5	1	1	8	7	6	0	20	1	1	4	2	2	0	2	3	2	5	9	9	12	14	4	6	8	2	11	14	8	13	11	12	5	2
Arctic_Cluster_1633	6	7	0	2	4	3	4	1	23	1	2	2	0	4	4	3	2	3	0	9	10	20	13	5	7	13	2	12	15	6	12	8	6	6	3
Arctic_Cluster_1547	2	3	0	2	6	4	1	1	10	0	14	0	0	5	3	1	1	4	0	18	28	11	10	4	9	8	4	6	17	14	3	11	4	5	3
Arctic_Cluster_1339	9	6	0	5	10	1	3	0	11	1	8	2	0	2	12	2	2	3	2	4	34	16	10	5	6	7	2	3	15	5	5	6	3	4	1
Arctic_Cluster_835	1	2	0	11	9	2	1	1	8	0	7	0	0	5	2	2	0	5	2	6	22	17	12	2	6	13	1	11	13	10	14	5	3	3	4
Arctic_Cluster_60	6	1	0	5	22	4	4	0	14	0	11	0	0	2	0	2	2	2	2	12	14	14	7	2	14	13	0	11	5	8	5	6	1	8	2
Arctic_Cluster_982	8	3	1	1	11	5	5	0	22	0	3	0	0	6	2	1	1	2	2	3	15	14	6	3	8	10	2	9	9	9	16	5	9	6	2
Arctic_Cluster_12	13	2	0	1	6	3	7	0	10	1	3	1	1	3	5	1	1	4	2	12	5	14	12	0	7	11	3	14	8	7	5	18	10	5	1
Arctic_Cluster_95	4	2	0	3	5	2	6	0	18	2	7	1	0	5	2	2	4	4	2	6	7	15	17	3	4	12	1	7	11	6	4	12	11	4	1
Arctic_Cluster_148	1	2	1	10	0	3	3	1	5	0	5	0	0	6	9	1	4	3	1	3	43	34	6	1	1	1	0	10	21	5	3	1	3	1	2
Arctic_Cluster_1275	6	3	0	2	15	1	1	0	8	1	16	1	0	4	4	0	1	2	0	3	21	17	6	3	7	7	2	8	11	17	5	3	5	4	6
Arctic_Cluster_991	9	4	0	2	6	6	5	0	12	0	6	2	0	3	3	1	2	1	3	7	7	5	16	1	6	10	0	10	9	10	10	13	9	7	4
Arctic_Cluster_555	12	2	1	7	7	3	2	0	10	0	14	1	1	5	6	2	0	5	3	4	13	18	10	0	4	5	0	13	9	3	7	10	7	3	1
Arctic_Cluster_1184	2	0	1	1	10	1	1	0	12	1	10	4	0	7	6	0	2	1	0	6	22	27	12	2	8	6	1	12	18	3	4	4	2	0	2
